mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size,nrow,ncol
0.5204643325492843,0.0002768578708163534,0.016639046571734616,0.6791501762453871,4096,64,64,0,cluster_nn,cluster,8,240.0,64,64
0.5204643325492843,0.00020639852558655317,0.014366576682931573,0.6857805609008762,1024,32,32,0,cluster_nn,cluster,16,480.0,32,32
0.5204643325492844,0.00014995210409171104,0.012245493215534892,0.4817716598773829,256,16,16,0,cluster_nn,cluster,32,960.0,16,16
0.519089113114111,0.00047909537282022605,0.021888247367485274,0.7219397211965134,262144,512,512,1,cluster_nn,cluster,1,30.0,512,512
0.5190891131141109,0.00037144962600400584,0.019273028459585843,0.7224377734868613,65536,256,256,1,cluster_nn,cluster,2,60.0,256,256
0.5190891131141109,0.0002889479983621622,0.016998470471256,0.7369068128574966,16384,128,128,1,cluster_nn,cluster,4,120.0,128,128
0.5190891131141109,0.00022632475334251692,0.015044093636458028,0.7846088169913655,4096,64,64,1,cluster_nn,cluster,8,240.0,64,64
0.5190891131141109,0.00018736999460769308,0.013688315988743578,0.7428003102295037,1024,32,32,1,cluster_nn,cluster,16,480.0,32,32
0.5190891131141109,0.0001428994911556013,0.011954057518499789,0.5216673892762126,256,16,16,1,cluster_nn,cluster,32,960.0,16,16
0.5096717074985342,0.001440500991156501,0.037953932486061326,0.6295447562332627,262144,512,512,2,cluster_nn,cluster,1,30.0,512,512
0.5096717074985342,0.001008923916712721,0.031763562720713824,0.571768994214948,65536,256,256,2,cluster_nn,cluster,2,60.0,256,256
0.5096717074985342,0.0006528435023150256,0.025550802381041297,0.5040237282755112,16384,128,128,2,cluster_nn,cluster,4,120.0,128,128
0.5096717074985342,0.0003917326938617344,0.019792238222640066,0.5184382874381946,4096,64,64,2,cluster_nn,cluster,8,240.0,64,64
0.5096717074985342,0.0002441531981800885,0.01562540233658284,0.5842716104564477,1024,32,32,2,cluster_nn,cluster,16,480.0,32,32
0.5096717074985342,0.0001590259316248721,0.012610548426808095,0.46319742329120256,256,16,16,2,cluster_nn,cluster,32,960.0,16,16
0.5205239246130389,0.0005509457986855928,0.02347223463340448,0.7194152272565495,262144,512,512,3,cluster_nn,cluster,1,30.0,512,512
0.5205239246130386,0.0004237042503790636,0.020584077593593153,0.7228577287535187,65536,256,256,3,cluster_nn,cluster,2,60.0,256,256
0.5205239246130386,0.00032771015208230296,0.01810276642069667,0.7401546508143293,16384,128,128,3,cluster_nn,cluster,4,120.0,128,128
0.5205239246130388,0.00026396196031270864,0.0162469061766451,0.7695370621376372,4096,64,64,3,cluster_nn,cluster,8,240.0,64,64
0.5205239246130386,0.00021136502383717755,0.014538398255556818,0.7631057343517168,1024,32,32,3,cluster_nn,cluster,16,480.0,32,32
0.5205239246130386,0.00016252997904213652,0.012748724604529527,0.5003276259925858,256,16,16,3,cluster_nn,cluster,32,960.0,16,16
0.5195008076298085,0.00074792919052725,0.027348294106346926,0.6632972134772065,262144,512,512,4,cluster_nn,cluster,1,30.0,512,512
0.5195008076298087,0.0005415658074357758,0.023271566501543807,0.6469128019176442,65536,256,256,4,cluster_nn,cluster,2,60.0,256,256
0.5195008076298087,0.0003836518852134249,0.019587033599129423,0.6490436707253279,16384,128,128,4,cluster_nn,cluster,4,120.0,128,128
0.5195008076298087,0.0002782004802266212,0.016679342919510384,0.6687564653348168,4096,64,64,4,cluster_nn,cluster,8,240.0,64,64
0.5195008076298087,0.000206543260352204,0.014371613004537938,0.6352263780074202,1024,32,32,4,cluster_nn,cluster,16,480.0,32,32
0.5195008076298087,0.00014404614847480658,0.012001922699084783,0.422366220770797,256,16,16,4,cluster_nn,cluster,32,960.0,16,16
