mean,variance,std_dev,morans_I,n,shape_r,shape_c,run,label,method,factor,pixel_size_rel
0.5801084627702251,0.024846512316264495,0.15762776505509585,0.9918660926737672,16384,128,128,3,perlin_LF,perlin,4,4.0
0.5801084627702251,0.02462516853653824,0.15692408526589613,0.9737271164396313,4096,64,64,3,perlin_LF,perlin,8,8.0
0.5801084627702251,0.02393896475812455,0.15472221804939507,0.9224517028099269,1024,32,32,3,perlin_LF,perlin,16,16.0
0.580108462770225,0.02217385424364776,0.14890887899533647,0.8086060808619714,256,16,16,3,perlin_LF,perlin,32,32.0
0.5098674650967129,0.044687022073958194,0.21139305114870308,0.9992727129150099,262144,512,512,4,perlin_LF,perlin,1,1.0
0.5098674650967128,0.044648375580559174,0.21130162228567761,0.9973709541904037,65536,256,256,4,perlin_LF,perlin,2,2.0
0.5098674650967128,0.044520937169944624,0.21099985111356032,0.9909854148012377,16384,128,128,4,perlin_LF,perlin,4,4.0
0.5098674650967128,0.044092509413637064,0.20998216451317256,0.9711331773972262,4096,64,64,4,perlin_LF,perlin,8,8.0
0.5098674650967128,0.04282983021828711,0.20695369099942892,0.9127204951473968,1024,32,32,4,perlin_LF,perlin,16,16.0
0.5098674650967128,0.0396109885074791,0.19902509517012948,0.762877192097587,256,16,16,4,perlin_LF,perlin,32,32.0
0.5128037314821188,0.03450652627875455,0.185759323531161,0.9992948079766494,262144,512,512,5,perlin_LF,perlin,1,1.0
0.5128037314821188,0.034474607262191266,0.1856733886753599,0.9972351935731125,65536,256,256,5,perlin_LF,perlin,2,2.0
0.5128037314821188,0.03436448082157389,0.18537659189221783,0.99018423170547,16384,128,128,5,perlin_LF,perlin,4,4.0
0.5128037314821188,0.034008996967995725,0.18441528398697252,0.9676594581957192,4096,64,64,5,perlin_LF,perlin,8,8.0
0.5128037314821188,0.032893606184218105,0.1813659454920303,0.9023078189571755,1024,32,32,5,perlin_LF,perlin,16,16.0
0.5128037314821188,0.029760331478715468,0.17251182996744155,0.740791823807271,256,16,16,5,perlin_LF,perlin,32,32.0
0.5539628949669262,0.02821449969916744,0.16797172291539858,0.9997099544236581,262144,512,512,6,perlin_LF,perlin,1,1.0
0.5539628949669262,0.02818867677200479,0.16789483843169448,0.9981169784489748,65536,256,256,6,perlin_LF,perlin,2,2.0
0.5539628949669262,0.028103682764872226,0.1676415305491817,0.9920374993882839,16384,128,128,6,perlin_LF,perlin,4,4.0
0.5539628949669262,0.027816909160221795,0.16678401949893698,0.9718449451215144,4096,64,64,6,perlin_LF,perlin,8,8.0
0.5539628949669262,0.02692136496610385,0.16407731398978911,0.9119371693333005,1024,32,32,6,perlin_LF,perlin,16,16.0
0.5539628949669262,0.024503210480136782,0.15653501359164596,0.7552194902827355,256,16,16,6,perlin_LF,perlin,32,32.0
0.5794277674738314,0.03249005878088504,0.18024998968345335,1.0002213370190245,262144,512,512,7,perlin_LF,perlin,1,1.0
0.5794277674738314,0.032471048599440694,0.18019724914504298,0.9996181775088823,65536,256,256,7,perlin_LF,perlin,2,2.0
0.5794277674738314,0.03240814626289924,0.18002262708587286,0.9965664704893964,16384,128,128,7,perlin_LF,perlin,4,4.0
0.5794277674738315,0.0321939206074367,0.17942664408453027,0.985236026085295,4096,64,64,7,perlin_LF,perlin,8,8.0
0.5794277674738314,0.03155490276431766,0.17763699717209155,0.9484068657384248,1024,32,32,7,perlin_LF,perlin,16,16.0
0.5794277674738314,0.02967336054162152,0.1722595731494233,0.8505399195961142,256,16,16,7,perlin_LF,perlin,32,32.0
0.5544073941575092,0.03472164818658674,0.18633745781937333,0.9992399296319134,262144,512,512,8,perlin_LF,perlin,1,1.0
0.5544073941575091,0.034682979855590594,0.18623367003737695,0.9970486978541553,65536,256,256,8,perlin_LF,perlin,2,2.0
0.5544073941575092,0.03455940938809405,0.1859016121180611,0.9895828940599461,16384,128,128,8,perlin_LF,perlin,4,4.0
0.5544073941575092,0.034154773509042724,0.18481010120943803,0.9661752850157412,4096,64,64,8,perlin_LF,perlin,8,8.0
0.5544073941575092,0.032913091669392505,0.1814196562376649,0.8997979870645841,1024,32,32,8,perlin_LF,perlin,16,16.0
0.5544073941575092,0.02981100274828904,0.1726586306799896,0.744169177654315,256,16,16,8,perlin_LF,perlin,32,32.0
0.5956231565172774,0.019370266889695124,0.13917710619816437,0.9990630024066541,262144,512,512,9,perlin_LF,perlin,1,1.0
0.5956231565172774,0.01935277451522092,0.139114249863991,0.9967961903427935,65536,256,256,9,perlin_LF,perlin,2,2.0
0.5956231565172774,0.019292672233223597,0.13889806418097986,0.989321871718925,16384,128,128,9,perlin_LF,perlin,4,4.0
0.5956231565172774,0.01909401895439571,0.13818110925302238,0.9661307998727281,4096,64,64,9,perlin_LF,perlin,8,8.0
0.5956231565172773,0.018493727127847713,0.13599164359565521,0.9016265486334312,1024,32,32,9,perlin_LF,perlin,16,16.0
0.5956231565172774,0.016823964831365723,0.12970722736750534,0.7618290732880802,256,16,16,9,perlin_LF,perlin,32,32.0
0.5480386169125387,0.029923526598128428,0.17298418019613362,0.9955039788242301,262144,512,512,0,perlin_MF,perlin,1,1.0
0.5480386169125387,0.029776922811218486,0.17255991078816216,0.9864610762270186,65536,256,256,0,perlin_MF,perlin,2,2.0
0.5480386169125386,0.029360310012525516,0.17134850455293013,0.963663818244969,16384,128,128,0,perlin_MF,perlin,4,4.0
0.5480386169125386,0.028381781724590806,0.16846893400443538,0.9166631603432436,4096,64,64,0,perlin_MF,perlin,8,8.0
0.5480386169125386,0.026102016557888928,0.16156118518347445,0.8228602429733782,1024,32,32,0,perlin_MF,perlin,16,16.0
0.5480386169125386,0.02204213070213278,0.14846592438042064,0.6064682401371652,256,16,16,0,perlin_MF,perlin,32,32.0
0.5417017856780195,0.029804515131119542,0.17263984224714624,0.9951268030932342,262144,512,512,1,perlin_MF,perlin,1,1.0
